"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","GFCF","TOT","MLN_USD","A","2000",60276.533,
"AUT","GFCF","TOT","MLN_USD","A","2001",59233.803,
"AUT","GFCF","TOT","MLN_USD","A","2002",59293.456,
"AUT","GFCF","TOT","MLN_USD","A","2003",62935.942,
"AUT","GFCF","TOT","MLN_USD","A","2004",65112.203,
"AUT","GFCF","TOT","MLN_USD","A","2005",66410.085,
"AUT","GFCF","TOT","MLN_USD","A","2006",70382.128,
"AUT","GFCF","TOT","MLN_USD","A","2007",74960.746,
"AUT","GFCF","TOT","MLN_USD","A","2008",80027.509,
"AUT","GFCF","TOT","MLN_USD","A","2009",76516.441,
"AUT","GFCF","TOT","MLN_USD","A","2010",75878.312,
"AUT","GFCF","TOT","MLN_USD","A","2011",83826.572,
"AUT","GFCF","TOT","MLN_USD","A","2012",88702.598,
"AUT","GFCF","TOT","MLN_USD","A","2013",93628.507,
"AUT","GFCF","TOT","MLN_USD","A","2014",94507.991,
"AUT","GFCF","TOT","MLN_USD","A","2015",97817.345,
"AUT","GFCF","TOT","MLN_USD","A","2016",106308.203,
"AUT","GFCF","TOT","MLN_USD","A","2017",112611.401,
"AUT","GFCF","TOT","MLN_USD","A","2018",121285.584,
"AUT","GFCF","TOT","MLN_USD","A","2019",128368.295,
"AUT","GFCF","TOT","MLN_USD","A","2020",124746.896,
"BEL","GFCF","TOT","MLN_USD","A","2000",64106.098,
"BEL","GFCF","TOT","MLN_USD","A","2001",66304.44,
"BEL","GFCF","TOT","MLN_USD","A","2002",64759.209,
"BEL","GFCF","TOT","MLN_USD","A","2003",65778.871,
"BEL","GFCF","TOT","MLN_USD","A","2004",71711.292,
"BEL","GFCF","TOT","MLN_USD","A","2005",77019.881,
"BEL","GFCF","TOT","MLN_USD","A","2006",83031.102,
"BEL","GFCF","TOT","MLN_USD","A","2007",91059.889,
"BEL","GFCF","TOT","MLN_USD","A","2008",97854.4,
"BEL","GFCF","TOT","MLN_USD","A","2009",92861.07,
"BEL","GFCF","TOT","MLN_USD","A","2010",96032.13,
"BEL","GFCF","TOT","MLN_USD","A","2011",103991.391,
"BEL","GFCF","TOT","MLN_USD","A","2012",107856.655,
"BEL","GFCF","TOT","MLN_USD","A","2013",108058.762,
"BEL","GFCF","TOT","MLN_USD","A","2014",114854.701,
"BEL","GFCF","TOT","MLN_USD","A","2015",119611.368,
"BEL","GFCF","TOT","MLN_USD","A","2016",128185.371,
