"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","POP","TOT","AGRWTH","A","2001",0.383533007154906,
"AUT","POP","TOT","AGRWTH","A","2002",0.495231894684762,
"AUT","POP","TOT","AGRWTH","A","2003",0.44696188042718,
"AUT","POP","TOT","AGRWTH","A","2004",0.630628910558871,
"AUT","POP","TOT","AGRWTH","A","2005",0.683486177328412,
"AUT","POP","TOT","AGRWTH","A","2006",0.518766660531109,
"AUT","POP","TOT","AGRWTH","A","2007",0.32947715684714,
"AUT","POP","TOT","AGRWTH","A","2008",0.317678114386544,
"AUT","POP","TOT","AGRWTH","A","2009",0.239643114178011,
"AUT","POP","TOT","AGRWTH","A","2010",0.234802372671622,
"AUT","POP","TOT","AGRWTH","A","2011",0.328486704271906,
"AUT","POP","TOT","AGRWTH","A","2012",0.450340905812625,
"AUT","POP","TOT","AGRWTH","A","2013",0.60428579006875,
"AUT","POP","TOT","AGRWTH","A","2014",0.786837209796124,
"AUT","POP","TOT","AGRWTH","A","2015",1.00172847817609,
"AUT","POP","TOT","AGRWTH","A","2016",1.2780202465514,
"AUT","POP","TOT","AGRWTH","A","2017",0.632359574114116,
"AUT","POP","TOT","AGRWTH","A","2018",0.484748676901261,
"AUT","POP","TOT","AGRWTH","A","2019",0.451814028231531,
"BEL","POP","TOT","AGRWTH","A","2001",0.34458246884501,
"BEL","POP","TOT","AGRWTH","A","2002",0.449245914892339,
"BEL","POP","TOT","AGRWTH","A","2003",0.419509439034963,
"BEL","POP","TOT","AGRWTH","A","2004",0.433716616888956,
"BEL","POP","TOT","AGRWTH","A","2005",0.551609887331829,
"BEL","POP","TOT","AGRWTH","A","2006",0.661719003566978,
"BEL","POP","TOT","AGRWTH","A","2007",0.737062232720728,
"BEL","POP","TOT","AGRWTH","A","2008",0.793124143056538,
"BEL","POP","TOT","AGRWTH","A","2009",0.807863621729871,
"BEL","POP","TOT","AGRWTH","A","2010",0.917806866633977,
"BEL","POP","TOT","AGRWTH","A","2011",0.899694362553507,
"BEL","POP","TOT","AGRWTH","A","2012",0.674318622735231,
"BEL","POP","TOT","AGRWTH","A","2013",0.517584968504885,
"BEL","POP","TOT","AGRWTH","A","2014",0.492088427962416,
"BEL","POP","TOT","AGRWTH","A","2015",0.525019369794284,
"BEL","POP","TOT","AGRWTH","A","2016",0.502995335487718,
"BEL","POP","TOT","AGRWTH","A","2017",0.478778093286031,
"BEL","POP","TOT","AGRWTH","A","2018",0.481616088562589,
"BEL","POP","TOT","AGRWTH","A","2019",0.511086713657098,
"CZE","POP","TOT","AGRWTH","A","2001",-0.470294338195861,
"CZE","POP","TOT","AGRWTH","A","2002",-0.229044994460198,
"CZE","POP","TOT","AGRWTH","A","2003",0.00859738682574479,
"CZE","POP","TOT","AGRWTH","A","2004",0.0516779097814658,
"CZE","POP","TOT","AGRWTH","A","2005",0.266182080534947,
"CZE","POP","TOT","AGRWTH","A","2006",0.318093681393523,
"CZE","POP","TOT","AGRWTH","A","2007",0.545874475461607,
"CZE","POP","TOT","AGRWTH","A","2008",1.03658068164216,
"CZE","POP","TOT","AGRWTH","A","2009",0.59253907018539,
"CZE","POP","TOT","AGRWTH","A","2010",0.245484626972026,
"CZE","POP","TOT","AGRWTH","A","2011",-0.195631042990623,
"CZE","POP","TOT","AGRWTH","A","2012",0.120171421951643,
"CZE","POP","TOT","AGRWTH","A","2013",0.013635560018064,
"CZE","POP","TOT","AGRWTH","A","2014",0.133806260066509,
"CZE","POP","TOT","AGRWTH","A","2015",0.172535623774856,
"CZE","POP","TOT","AGRWTH","A","2016",0.211914283508341,
"CZE","POP","TOT","AGRWTH","A","2017",0.229449582235556,
"CZE","POP","TOT","AGRWTH","A","2018",0.348495296201171,
"CZE","POP","TOT","AGRWTH","A","2019",0.40365390822694,
"DNK","POP","TOT","AGRWTH","A","2001",0.332337582138232,
"DNK","POP","TOT","AGRWTH","A","2002",0.358033733190267,
"DNK","POP","TOT","AGRWTH","A","2003",0.240386807101635,
"DNK","POP","TOT","AGRWTH","A","2004",0.259932201929992,
"DNK","POP","TOT","AGRWTH","A","2005",0.274032863577698,
"DNK","POP","TOT","AGRWTH","A","2006",0.343225175582323,
